"Kingdom" "Supergroup" "Division" "Class" "Order" "Family" "Genus" "Species"
"1" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-C" "Uroglena" NA
"2" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_curvata"
"3" "Eukaryota" "Stramenopiles" "Ochrophyta" "Synurophyceae" "Synurales" "Synurales_X" "Synura" "Synura_petersenii"
"4" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-C" "Uroglena" "Uroglena_sp."
"5" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Eudiaptomus" "Eudiaptomus_sp."
"6" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonadales_XX" "Cryptomonadales_XX_sp."
"7" "Eukaryota" "Alveolata" "Ciliophora" "CONTH_7" "CONTH_7_X" "CONTH_7_XX" "CONTH_7_XXX" "CONTH_7_XXX_sp."
"8" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida_A" "Strombidiida_A_X" "Strombidiida_A_XX" "Strombidiida_A_XX_sp."
"9" "Eukaryota" "Archaeplastida" "Chlorophyta" "Chlorophyceae" "Chlamydomonadales" "Chlamydomonadales_X" "Cephalomonas" "Cephalomonas_granulata"
"10" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Hypotrichia" NA NA NA
"11" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Suessiales" "Borghiellaceae" "Borghiella" "Borghiella_tenuissima"
"12" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" NA NA
"13" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_pyrenoidifera"
"14" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_H" "Strobilidiidae_H_X" "Strobilidiidae_H_X_sp."
"15" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_C" "Strobilidiidae_C_X" "Strobilidiidae_C_X_sp."
"16" "Eukaryota" "Hacrobia" "Telonemia" "Telonemia_X" "Telonemia_XX" "Telonemia-Group-2" "Telonemia-Group-2_X" "Telonemia-Group-2_X_sp."
"17" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Hypotrichia" "Halteriidae" "Halteriidae_X" "Halteriidae_X_sp."
"18" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"19" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_A" "Strobilidiidae_A_X" "Strobilidiidae_A_X_sp."
"20" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_marssonii"
"21" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida" "Pelagostrombidiidae" "Limnostrombidium" "Limnostrombidium_sp."
"22" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_D" "Rimostrombidium_D" "Rimostrombidium_D_sp."
"23" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"24" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Cyclops" "Cyclops_sp."
"25" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Hypotrichia" "Hypotrichia_X" "Hypotrichia_XX" "Hypotrichia_XX_sp."
"26" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Peridiniales" "Thoracosphaeraceae" "Thoracosphaeraceae_X" "Thoracosphaeraceae_X_sp."
"27" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_G" "Strobilidiidae_G_X" "Strobilidiidae_G_X_sp."
"28" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-C" "Uroglena" "Uroglena_americana"
"29" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
