"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"1" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Uroglena"
"2" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"3" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Synura"
"4" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Uroglena"
"5" "Eukaryota" "Arthropoda" "Maxillopoda" "Calanoida" NA NA
"6" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Plagioselmis"
"7" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"8" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" NA
"9" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"10" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" NA
"11" "Eukaryota" "Dinoflagellata" "Dinophyceae" NA NA NA
"12" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Plagioselmis"
"13" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"14" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"15" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"16" "Eukaryota" "Incertae_Sedis_ph" "Incertae_Sedis_cl" "Incertae_Sedis_or" "Incertae_Sedis_fa" "Telonema"
"17" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" "Halteria"
"18" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"19" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"20" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"21" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" "Strombidium"
"22" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"23" "Eukaryota" "Dinoflagellata" NA NA NA NA
"24" "Eukaryota" "Arthropoda" "Maxillopoda" "Cyclopoida" NA NA
"25" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" "Halteria"
"26" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Peridiniphycidae_or" "Thoracosphaeraceae" NA
"27" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"28" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Uroglena"
"29" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"30" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"31" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Uroglena"
"32" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Tintinnidium"
"33" "Eukaryota" "Kathablepharidae" "Kathablepharidae_cl" "Kathablepharidae_or" "Kathablepharidae_fa" "Leucocryptos"
"34" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Biecheleria"
"35" "Eukaryota" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Saccharomycetaceae" "Saccharomyces"
"36" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Geminigera"
"37" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" NA
"38" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"39" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"40" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"41" "Eukaryota" "Arthropoda" "Maxillopoda" "Calanoida" NA NA
"42" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"43" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chrysocapsales" "Chrysocapsales_fa" "Chrysocapsa"
"44" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" "Cyclidium"
"45" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" NA NA
"46" "Eukaryota" "Arthropoda" "Ostracoda" "Podocopida" NA NA
"47" "Eukaryota" "Arthropoda" "Maxillopoda" "Cyclopoida" NA NA
"48" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" "Strombidium"
"49" "Eukaryota" "Ciliophora" "Postciliodesmatophora" "Heterotrichea" "Heterotrichea_fa" "Stentor"
"50" "Eukaryota" "Ciliophora" "Intramacronucleata" "Litostomatea" "Haptoria" NA
"51" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"52" "Eukaryota" NA NA NA NA NA
"53" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Chrysamoeba"
"54" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"55" "Eukaryota" "Dinoflagellata" "Dinophyceae" NA NA NA
"56" "Eukaryota" "Basidiomycota" "Microbotryomycetes" "Incertae_Sedis" "Chrysozymaceae" NA
"57" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"58" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" "Halteria"
"59" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"60" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"61" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"62" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"63" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"64" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"65" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"66" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"67" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"68" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"69" "Eukaryota" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Debaryomycetaceae" "Candida-Lodderomyces_clade"
"70" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" NA
"71" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"72" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"73" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"74" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"75" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" NA
"76" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" NA NA
"77" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" NA NA
"78" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Biecheleria"
"79" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" NA
"80" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"81" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"82" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" NA
"83" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"84" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"85" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Uroglena"
"86" "Eukaryota" "Incertae_Sedis" "Incertae_Sedis_cl" "Incertae_Sedis_or" "Incertae_Sedis_fa" "Pirsonia"
"87" "Eukaryota" NA NA NA NA NA
"88" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"89" "Eukaryota" NA NA NA NA NA
"90" "Eukaryota" "Dinoflagellata" "Dinophyceae" NA NA NA
"91" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"92" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"93" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"94" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"95" "Eukaryota" NA NA NA NA NA
"96" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"97" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Tintinnidium"
"98" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"99" "Eukaryota" "Ochrophyta_ph" "Dictyochophyceae" "Pedinellales" NA NA
"100" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"101" "Eukaryota" NA NA NA NA NA
"102" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" NA
"103" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Pelagostrobilidium"
"104" "Eukaryota" "Diatomea" "Coscinodiscophytina_cl" "Coscinodiscophytina_or" "Melosirids" "Aulacoseira"
"105" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"106" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"107" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"108" "Eukaryota" "Ochrophyta_ph" "Dictyochophyceae" "Pedinellales" NA NA
"109" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
