"Kingdom" "Supergroup" "Division" "Class" "Order" "Family" "Genus" "Species"
"1" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Occidodiaptomus" NA
"2" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" NA NA
"3" "Eukaryota" "Stramenopiles" "Ochrophyta" "Raphidophyceae" "Raphidophyceae_X" "Raphidophyceae_XX" "Gonyostomum" "Gonyostomum_semen"
"4" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Cyclopidae" "Cyclopidae_sp."
"5" "Eukaryota" "Stramenopiles" "Ochrophyta" "Synurophyceae" "Synurales" "Synurales_X" "Mallomonas" "Mallomonas_caudata"
"6" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" NA NA
"7" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"8" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"9" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_pyrenoidifera"
"10" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"11" "Eukaryota" "Opisthokonta" "Metazoa" "Rotifera" "Rotifera_X" "Rotifera_XX" NA NA
"12" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_curvata"
"13" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_curvata"
"14" "Eukaryota" "Hacrobia" "Katablepharidophyta" "Katablepharidaceae" "Katablepharidales" "Katablepharidales_X" "Katablepharidales_XX" "Katablepharidales_XX_sp."
"15" "Eukaryota" "Opisthokonta" "Metazoa" "Rotifera" "Rotifera_X" "Rotifera_XX" "Conochilus" "Conochilus_unicornis"
"16" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"17" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_H" "Strobilidiidae_H_X" "Strobilidiidae_H_X_sp."
"18" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Polar-centric-Mediophyceae" "Cyclotella" "Cyclotella_meneghiniana"
"19" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-C" "Uroglena" "Uroglena_americana"
"20" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"21" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"22" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" NA NA NA NA
"23" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Branchiopoda" "Bosmina" "Bosmina_longirostris"
"24" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida_A" "Strombidiida_A_X" "Strombidiida_A_XX" "Strombidiida_A_XX_sp."
"25" "Eukaryota" "Opisthokonta" "Fungi" "Ascomycota" "Pezizomycotina" "Dothideomycetes" "Boeremia" "Boeremia_exigua"
"26" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Hypotrichia" "Halteriidae" "Halteriidae_X" "Halteriidae_X_sp."
"27" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Branchiopoda" "Daphnia" "Daphnia_magna"
"28" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Branchiopoda" NA NA
"29" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_D" "Rimostrombidium_D" "Rimostrombidium_D_sp."
"30" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_C" "Strobilidiidae_C_X" "Strobilidiidae_C_X_sp."
"31" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-C" "Dinobryon" "Dinobryon_pediforme"
"32" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Branchiopoda" NA NA
"33" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"34" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"35" "Eukaryota" "Alveolata" "Ciliophora" "Litostomatea" "Rhynchostomatia" "Dileptidae" "Dileptidae_X" "Dileptidae_X_sp."
"36" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Branchiopoda" "Bythotrephes" "Bythotrephes_cederstroemi"
"37" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" NA NA
"38" "Eukaryota" NA NA NA NA NA NA NA
"39" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Polar-centric-Mediophyceae" "Stephanodiscus" "Stephanodiscus_minutulus"
"40" "Eukaryota" "Opisthokonta" "Fungi" "Basidiomycota" "Agaricomycotina" "Tremellomycetes" "Cryptococcus" "Cryptococcus_vishniacii"
"41" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"42" "Eukaryota" "Archaeplastida" "Chlorophyta" "Trebouxiophyceae" "Trebouxiophyceae_X" "Trebouxiophyceae_XX" "Botryococcus" "Botryococcus_braunii"
"43" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Hexapoda" "Insecta" NA NA
"44" "Eukaryota" NA NA NA NA NA NA NA
"45" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"46" "Eukaryota" NA NA NA NA NA NA NA
"47" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Cyclops" "Cyclops_sp."
"48" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-C" "Dinobryon" "Dinobryon_divergens"
"49" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"50" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Plagioselmis" "Plagioselmis_nannoplanctica"
