"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"1" "Eukaryota" "Arthropoda" "Maxillopoda" "Calanoida" NA NA
"2" "Eukaryota" "Arthropoda" "Maxillopoda" "Calanoida" NA NA
"3" "Eukaryota" "Ochrophyta_ph" "Raphidophyceae" "Chattonellales" "Chattonellales_fa" "Gonyostomum"
"4" "Eukaryota" "Arthropoda" "Maxillopoda" "Cyclopoida" NA NA
"5" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"6" "Eukaryota" "Arthropoda" "Maxillopoda" NA NA NA
"7" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"8" "Eukaryota" "Dinoflagellata" NA NA NA NA
"9" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"10" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"11" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"12" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"13" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"14" "Eukaryota" "Kathablepharidae" "Kathablepharidae_cl" "Kathablepharidae_or" "Kathablepharidae_fa" "Leucocryptos"
"15" "Eukaryota" "Rotifera" "Monogononta" "Flosculariacea" NA NA
"16" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"17" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Pelagostrobilidium"
"18" "Eukaryota" "Diatomea" "Mediophyceae" "Mediophyceae_or" "Mediophyceae_fa" "Cyclotella"
"19" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Uroglena"
"20" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" NA
"21" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"22" "Eukaryota" "Arthropoda" NA NA NA NA
"23" "Eukaryota" "Arthropoda" "Branchiopoda" "Notostraca" NA NA
"24" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" "Spirostrombidium"
"25" "Eukaryota" "Ascomycota" "Dothideomycetes" "Pleosporales" "Leptosphaeriaceae" "Neophaeosphaeria"
"26" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" "Halteria"
"27" "Eukaryota" "Arthropoda" "Branchiopoda" "Diplostraca" NA NA
"28" "Eukaryota" "Arthropoda" "Branchiopoda" "Notostraca" NA NA
"29" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"30" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"31" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Uroglena"
"32" "Eukaryota" "Arthropoda" "Branchiopoda" "Diplostraca" NA NA
