"","input","filtered","merged","final"
"1-L35_S1_L001_R1_001.fastq.gz",261341,193969,114517,102126
"10-L33_S10_L001_R1_001.fastq.gz",132108,101989,72564,62005
"11-L3_S11_L001_R1_001.fastq.gz",165633,126620,96013,83095
"12-L19_S12_L001_R1_001.fastq.gz",348055,277964,197495,138820
"13-L8_S13_L001_R1_001.fastq.gz",334872,269323,201686,145580
"14-L20_S14_L001_R1_001.fastq.gz",68729,53198,37361,31590
"15-L11_S15_L001_R1_001.fastq.gz",339298,271617,228941,216450
"16-L7_S16_L001_R1_001.fastq.gz",63385,45239,22497,21333
"17-L18_S17_L001_R1_001.fastq.gz",75607,58349,40158,30506
"18-L4_S18_L001_R1_001.fastq.gz",68407,52649,37863,32480
"19-L39_S19_L001_R1_001.fastq.gz",72690,59663,36896,29311
"2-L26_S2_L001_R1_001.fastq.gz",671933,549003,441772,392092
"20-L22_S20_L001_R1_001.fastq.gz",80583,64035,45240,44468
"21-L37_S21_L001_R1_001.fastq.gz",63711,51075,43164,37468
"22-L38_S22_L001_R1_001.fastq.gz",1053,797,439,439
"23-L21_S23_L001_R1_001.fastq.gz",81760,64584,54237,51729
"24-L16_S24_L001_R1_001.fastq.gz",67792,51560,30712,28568
"25-L41_S25_L001_R1_001.fastq.gz",74174,58610,43264,40158
"26-L15_S26_L001_R1_001.fastq.gz",75612,62478,50609,40521
"27-L52_S27_L001_R1_001.fastq.gz",79018,59883,46298,42517
"28-L68_S28_L001_R1_001.fastq.gz",84524,68492,45276,36260
"29-L34_S29_L001_R1_001.fastq.gz",47095,33972,23070,20532
"3-L23_S3_L001_R1_001.fastq.gz",180536,144908,106936,85848
"30-L51_S30_L001_R1_001.fastq.gz",71414,57126,46310,37464
"31-L47_S31_L001_R1_001.fastq.gz",61040,47929,40213,38830
"32-L44_S32_L001_R1_001.fastq.gz",68246,52101,32857,27989
"33-L53_S33_L001_R1_001.fastq.gz",244732,196846,166597,149856
"34-L49_S34_L001_R1_001.fastq.gz",188784,155451,128464,114473
"35-L43_S35_L001_R1_001.fastq.gz",93253,77328,60888,53192
"36-L45_S36_L001_R1_001.fastq.gz",80583,64643,51458,46060
"37-L48_S37_L001_R1_001.fastq.gz",55851,43833,37871,35497
"38-L46_S38_L001_R1_001.fastq.gz",188679,146975,126040,125786
"39-L24_S39_L001_R1_001.fastq.gz",139,37,0,0
"4-L30_S4_L001_R1_001.fastq.gz",138861,107370,65084,47925
"40-L14_S40_L001_R1_001.fastq.gz",175358,137376,113791,108246
"41-L13_S41_L001_R1_001.fastq.gz",203011,164097,135563,116861
"42-L25_S42_L001_R1_001.fastq.gz",72519,52316,44212,43014
"43-L28_S43_L001_R1_001.fastq.gz",167275,127593,87432,76794
"44-L27_S44_L001_R1_001.fastq.gz",101307,73867,44557,40035
"45-L59_S45_L001_R1_001.fastq.gz",181391,135016,92903,80447
"46-L60_S46_L001_R1_001.fastq.gz",56749,42611,32492,30288
"47-L66_S47_L001_R1_001.fastq.gz",108717,87750,55768,46102
"48-L71_S48_L001_R1_001.fastq.gz",225121,183080,152802,137532
"49-L74_S49_L001_R1_001.fastq.gz",108434,84398,51822,31485
"5-L31_S5_L001_R1_001.fastq.gz",314209,245689,170567,119918
"50-L55_S50_L001_R1_001.fastq.gz",73517,60635,50510,46214
"51-L57_S51_L001_R1_001.fastq.gz",73084,58304,48126,45330
"52-L62_S52_L001_R1_001.fastq.gz",229137,171398,126300,114381
"53-L69_S53_L001_R1_001.fastq.gz",69098,52607,35996,33562
"54-L72_S54_L001_R1_001.fastq.gz",110008,85793,64507,55026
"55-L65_S55_L001_R1_001.fastq.gz",126728,99219,64766,45747
"56-L73_S56_L001_R1_001.fastq.gz",80060,63429,55072,51799
"57-L70_S57_L001_R1_001.fastq.gz",340726,257186,186963,133038
"58-L63_S58_L001_R1_001.fastq.gz",83337,64425,50787,50787
"59-L54_S59_L001_R1_001.fastq.gz",103598,78439,56471,51594
"6-L40_S6_L001_R1_001.fastq.gz",106362,82648,60036,56054
"60-L64_S60_L001_R1_001.fastq.gz",76693,58208,34398,29408
"61-L67_S61_L001_R1_001.fastq.gz",333143,261220,183174,108922
"62-L61_S62_L001_R1_001.fastq.gz",67183,52601,35691,30537
"63-L56_S63_L001_R1_001.fastq.gz",379483,255549,167007,158813
"64-L10_S64_L001_R1_001.fastq.gz",425253,344987,310567,290451
"65-L6_S65_L001_R1_001.fastq.gz",231852,180339,141235,115006
"66-L17_S66_L001_R1_001.fastq.gz",452224,366177,300904,241889
"67-L5_S67_L001_R1_001.fastq.gz",191251,146193,80779,77894
"68-L1_S68_L001_R1_001.fastq.gz",382444,303317,219660,151126
"69-L2_S69_L001_R1_001.fastq.gz",365456,271125,167529,127557
"7-L50_S7_L001_R1_001.fastq.gz",554378,421141,302564,251535
"70-L9_S70_L001_R1_001.fastq.gz",447549,354227,317615,253420
"71-L12_S71_L001_R1_001.fastq.gz",368805,288818,239733,216480
"72-L42_S72_L001_R1_001.fastq.gz",478190,382947,321421,270042
"73-Lmock_S73_L001_R1_001.fastq.gz",186208,134810,115635,106362
"74-LNegPCR_S74_L001_R1_001.fastq.gz",190865,142711,80412,79340
"75-L36_S75_L001_R1_001.fastq.gz",369177,257697,156036,147848
"76-L58_S76_L001_R1_001.fastq.gz",70032,53218,38087,37930
"8-L29_S8_L001_R1_001.fastq.gz",99625,75943,50508,40483
"9-L32_S9_L001_R1_001.fastq.gz",556968,431926,318279,232805
