"","input","filtered","merged","final"
"1_S1_L001_R1_001.fastq.gz",65250,37212,29568,29556
"100_S95_L001_R1_001.fastq.gz",87459,46273,28031,28020
"101_S96_L001_R1_001.fastq.gz",87983,51941,39583,39548
"102_S97_L001_R1_001.fastq.gz",69529,38593,30840,30840
"104_S98_L001_R1_001.fastq.gz",86869,50769,43198,43198
"105_S99_L001_R1_001.fastq.gz",87857,50868,37950,37950
"106_S100_L001_R1_001.fastq.gz",71523,40539,28195,28005
"107_S101_L001_R1_001.fastq.gz",98185,55487,30096,30089
"108_S102_L001_R1_001.fastq.gz",81541,47199,37206,36944
"109_S103_L001_R1_001.fastq.gz",101927,58131,44339,44339
"11_S10_L001_R1_001.fastq.gz",92222,52553,38749,38583
"13_S11_L001_R1_001.fastq.gz",92788,51515,23488,23488
"14_S12_L001_R1_001.fastq.gz",99066,56045,38447,37516
"15_S13_L001_R1_001.fastq.gz",82916,46637,30613,30306
"16_S14_L001_R1_001.fastq.gz",83159,46758,36264,36264
"17_S15_L001_R1_001.fastq.gz",82005,44834,17613,17583
"18_S16_L001_R1_001.fastq.gz",94201,53247,41934,41811
"19_S17_L001_R1_001.fastq.gz",81618,45167,36672,36672
"2_S2_L001_R1_001.fastq.gz",90620,49755,27370,27269
"20_S18_L001_R1_001.fastq.gz",84981,47818,35164,34997
"21_S19_L001_R1_001.fastq.gz",83300,45956,21147,21098
"22_S20_L001_R1_001.fastq.gz",84163,48728,37140,36941
"23_S21_L001_R1_001.fastq.gz",69401,37232,20415,20415
"24_S22_L001_R1_001.fastq.gz",87787,48339,30555,30535
"25_S23_L001_R1_001.fastq.gz",67310,37539,29305,29305
"26_S24_L001_R1_001.fastq.gz",87033,47760,32595,32470
"27_S25_L001_R1_001.fastq.gz",90956,49921,14114,14114
"28_S26_L001_R1_001.fastq.gz",104047,58173,29888,29845
"29_S27_L001_R1_001.fastq.gz",96107,55957,21313,21313
"3_S3_L001_R1_001.fastq.gz",80862,46505,33879,33773
"30_S28_L001_R1_001.fastq.gz",101633,58695,32514,32305
"31_S29_L001_R1_001.fastq.gz",95124,55392,49156,49156
"32_S30_L001_R1_001.fastq.gz",87597,48679,35384,35067
"33_S31_L001_R1_001.fastq.gz",71179,39455,21872,21872
"34_S32_L001_R1_001.fastq.gz",90171,49087,34014,33981
