Lake_ID,Lake_name,real_name,DNAsampleID,NVE_number,Longitude,Latitude,Altitude,sample_date,lake_temp,pH,conductivity,alkalinity,Ar (ppm),O2 (ppm),N2 (ppm),CO2 (ppm),CH4 (ppm),N2O (ppm),Ar (ppm/h),O2 (ppm/h),N2 (ppm/h),CO2 (ppm/h),CH4 (ppm/h),N2O (ppm/h),TOC,DOC,TN,DN,TOTP,DP,DNA_conc,filtered_vol
12147,Espedalsvatnet,Espedalsvatnet,L35,267,9.6162769,61.3829981,,,6,7,11.8,0.406,65.58,1748.21,4497.01,1686.83,0.53,0.00,0.08,-7.12,-19.24,9.97,0.00,0.00,,,,,,,3.1,450
12150,Randsfjorden,Randsfjorden,L26,523,10.465579,60.424115,,,8.9,7.17,30.8,0.69,67.23,1577.58,2703.02,3086.95,0.19,0.02,-0.31,-9.25,-18.54,11.17,0.00,0.00,,,,,,,4.48,450
12151,Skjelbreida,Skjelbreida,L23,254,10.580267,60.634204,,,9.2,6.42,24.8,0.37,34.40,1016.05,2804.29,1348.16,0.24,0.02,0.80,4.57,21.73,4.31,0.00,0.00,,,,,,,4.18,500
12180,Mylla,Mylla,L30,117,10.598031,60.24374,,,6.9,7.29,42.3,1.072,78.41,926.90,330.96,5606.80,1.52,0.04,-0.28,-8.12,0.67,13.22,0.01,0.00,,,,,,,5.6,425
12249,Bygdin,Bygdin,L31,146,8.7911252,61.328541,,,5.8,7.31,6.24,0.151,20.97,382.57,0.00,260.91,0.05,0.02,1.49,27.57,74.25,6.17,0.00,0.00,,,,,,,2.76,750
12251,Tyin,Tyin,L40,1573,8.136646,61.27565,,,11,6.6,7.19,0.148,10.27,0.00,158.08,286.29,0.26,0.00,2.24,34.79,99.38,4.13,0.00,0.00,,,,,,,2.08,750
12259,Helin,Helin,L50,570,8.716318,61.020559,,,7.7,7.22,19.05,0.305,0.00,0.00,0.00,1280.15,0.17,0.02,0.76,5.94,-8.94,8.20,0.00,0.00,,,,,,,2.5,450
12260,Vangsmjosi,Vangsmjøsi,L29,517,8.671554,61.157512,,,8,7.05,8.66,0.233,729.85,15824.13,67339.42,700.72,0.37,0.00,2.24,24.76,84.72,4.42,0.00,0.00,,,,,,,5.94,1000
12262,Vasetvatnet,Vasetvatnet,L32,573,8.964892,60.993173,,,8.9,7.07,8.38,0.259,0.00,16.38,0.00,955.06,0.61,0.02,1.66,26.03,108.34,4.22,0.00,0.00,,,,,,,6.56,750
12267,Skytningen,Skytningen,L36,32290,9.025524,61.813256,,,4.4,7.61,67.2,1.937,4.55,0.00,0.00,10686.47,4.34,0.00,-0.60,-10.79,-95.38,29.72,0.00,0.00,,,,,,,6.62,500
